Name,Address,Rating,Total Ratings,Price Level,Place ID,Website
Museum of Illusions - New York,"77 8th Ave, New York, NY 10014, USA",4.4,13401,N/A,ChIJ6XBmhaZZwokRlmXoc8vxrsE,http://newyork.museumofillusions.us/?utm_source=Google+GMB&utm_medium=website
Museum of Sex,"233 5th Ave, New York, NY 10016, USA",4.4,5946,PRICE_LEVEL_MODERATE,ChIJR026QqZZwokRgLuHSIZNIKM,https://www.museumofsex.com/?y_source=1_MTA4NDAxMzM2Ny03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Neue Galerie New York,"1048 5th Ave, New York, NY 10028, USA",4.4,3113,PRICE_LEVEL_EXPENSIVE,ChIJ01_9-ZdYwokRL2JrA28GJp8,http://www.neuegalerie.org/
"Cooper Hewitt, Smithsonian Design Museum","2 E 91st St, New York, NY 10128, USA",4.4,3054,N/A,ChIJsT8qSaJYwokR-m20OGJUKCA,https://www.cooperhewitt.org/
Museum of Chinese in America,"215 Centre St, New York, NY 10013, USA",4.4,1021,N/A,ChIJrd5vvolZwokRLR4z0Ui4KFs,https://www.mocanyc.org/
MoMA PS1,"22-25 Jackson Ave, Queens, NY 11101, USA",4.4,3241,N/A,ChIJwfbFiiNZwokRN8hnF940DbY,https://www.momaps1.org/
Solomon R. Guggenheim Museum,"1071 5th Ave, New York, NY 10128, USA",4.3,26140,N/A,ChIJmZ5emqJYwokRuDz79o0coAQ,https://www.guggenheim.org/
New Museum,"235 Bowery, New York, NY 10002, USA",4.2,2549,PRICE_LEVEL_EXPENSIVE,ChIJlaRS3IVZwokR2llMD6dCt-U,https://www.newmuseum.org/
Museum of Arts and Design,"2 Columbus Cir, New York, NY 10019, USA",4.2,1876,PRICE_LEVEL_EXPENSIVE,ChIJgVtmM_ZYwokRcJJnebe5KX8,https://madmuseum.org/
Children's Museum Of Manhattan,"212 W 83rd St, New York, NY 10024, USA",4.2,3083,N/A,ChIJ62VOeIZYwokRQwpWIK3w4aU,http://cmom.org/
Museum of Ice Cream,"558 Broadway, New York, NY 10012, USA",4.2,9648,N/A,ChIJdTjUE-dZwokRKLMbPjzr1b8,https://www.museumoficecream.com/
ARTECHOUSE NYC,"439 W 15th St, New York, NY 10011, USA",4.1,5082,N/A,ChIJQ6yZIaFZwokRl0jsn5VBk_M,http://artechouse.com/location/nyc
National Museum of Mathematics,"635 6th Ave, New York, NY 10011, USA",4.1,3236,N/A,ChIJWQHW9KZZwokRKLzyBDe6mIc,https://momath.org/
Mercer Labs,"21 Dey St, New York, NY 10007, USA",4.0,2028,N/A,ChIJVYkiLoVbwokRhEtqFyw_XIo,https://mercerlabs.com/
